Trung Dũng; Con trai của bố mẹ là người trung thành, mạnh mẽ
Hùng Dũng; Con sẽ là chàng trai mạnh mẽ, kiên cường, dũng cảm
Cao Cường; Con sẽ là người mạnh mẽ, rắn rỏi, tài giỏi hơn người
Hùng Cường; Hy vọng con sẽ luôn mạnh mẽ, vững vàng vượt qua mọi “sóng gió”
Trọng Nam; Con trai của bố mẹ chắc chắn là người mạnh mẽ, có tố chất lãnh đạo
Thanh Tùng; Chàng trai của bố mẹ sẽ luôn mạnh mẽ, vững vàng, sống ngay thẳng
Bảo Nam; Con chính là bảo bối của bố mẹ, mong muốn con sẽ mạnh mẽ, thành công
Chiến Thắng; Con trai của bố mẹ sẽ là người mạnh mẽ, kiên cường, luôn giành được chiến thắng
Trường An; Con sẽ là người mạnh mẽ, bố mẹ mong con gặp nhiều may mắn, bình an
Kỳ An; Con là cậu bé thông minh hơn người và mong muốn con luôn may mắn, bình an
Đình Nguyên; Mong con trai khỏe mạnh, có đủ ý chí và nghị lực để vượt qua mọi khó khăn
Gia An; Con sẽ là người ưu tú, luôn may mắn, bình an
Minh An; Mong con thông minh, sáng suốt, cuộc sống an yên
Bảo An; Con là bảo vật, mang đến bình an, may mắn
An Khải; Mong con trai của bố mẹ luôn vui vẻ, bình an
Thế Phương; Hy vọng con trai của bố mẹ luôn bình an, hạnh phúc
Hữu Phước; Con trai sau này sẽ gặp nhiều may mắn và luôn bình an
Minh Hùng; Hy vọng con trai luôn sáng suốt, mạnh khỏe, bình an
Nguyên Khang; Mong muốn con bình an, có cuộc sống giàu sang, yên ổn
Thanh Bình; Con sẽ là người điềm đạm, cao quý, gặp nhiều may mắn, bình an
