An Ngọc; Con sẽ luôn may mắn, bình an, được che chở, bảo vệ
Khánh Châu; Con luôn gặp những điều tốt lành, may mắn, thuận lợi
Kim Ngân; Cuộc sống của con sau này sẽ sung túc, ấm no
Tuyết Nhung; Cô gái dịu dàng, có cuộc sống sung túc, giàu sang
Yến Nhi; Cô gái nhỏ bé của bố mẹ, luôn xinh đẹp, lạc quan, vô tư
Vân Khánh; Ánh mây của hạnh phúc, vui vẻ, an nhàn
An Diệp; Bố mẹ mong con có gặp nhiều may mắn, bình an, vui vẻ
Cát Anh; Con luôn vui vẻ, yêu đời và là may mắn của gia đình
Cẩm Anh; Cô gái đẹp, luôn rực rỡ, tỏa sáng, tràn đầy năng lượng, yêu đời
An Nhiên; Luôn hy vọng có được cuộc đời nhàn nhã và không lo nhĩ ưu phiền về mọi thứ xung quanh của mình
Quỳnh Anh; Cô gái thông minh, may mắn, xinh đẹp
Phương Linh; Con sẽ luôn yêu đời, vui vẻ, gặp nhiều may mắn
Hoài Thương; Nhẹ nhàng, đằm thắm, tốt bụng, yêu thương mọi người
Thiên Bình; Dù con đi đâu cũng gặp may mắn, bình an, thuận lợi
Thanh Thảo; Con luôn vui vẻ, tràn đầy sức sống, hạnh phúc
Hiền Châu; Cô gái thánh thiện, tốt bụng, luôn hạnh phúc, tràn đầy năng lượng
Mai Ngọc; Cô gái xinh đẹp, may mắn, thông minh, tinh tế
Anh Ngọc; cô gái xinh đẹp, thông minh, tinh anh
Ngọc Mai; Không chỉ mang vẻ đẹp rực rỡ của hoa mai, mai bằng ngọc ý muốn con có vẻ đẹp “quý giá” như ngọc
Ngọc Trâm; Cây trâm bằng ngọc, một cái tên gắn đầy nữ tính
Nguyệt Minh; Bé như một ánh trăng sáng, dịu dàng và đẹp đẽ
Quỳnh Chi; Xinh đẹp và mĩ miều như cành hoa quỳnh
Quỳnh Hương; Giống như mùi hương thoảng của hoa quỳnh, cái tên có sự lãng mạn, thuần khiết, duyên dáng
Quỳnh Nhi; Bông quỳnh nhỏ dịu dàng, xinh đẹp, thơm tho, trong trắng
Tú Linh; Cô gái có dung mạo xinh đẹp, thanh tú, nhanh nhẹn
Thu Nguyệt; Là ánh trăng mùa thu, vừa sáng lại vừa tròn đầy nhất, một vẻ đẹp dịu dàng
Thanh Vân; Con dịu dàng, đẹp đẽ như một áng mây trong xanh
Thanh Trúc; Cây trúc xanh, biểu tượng cho sự trong sáng, trẻ trung, đầy sức sống
Vân Trang; Cô gái xinh đẹp, dáng dấp dịu dàng như mây
Tố Như; Xinh đẹp, đài các, hiểu biết
Diệp Bích; Tiểu thư cành vàng, lá ngọc của bố mẹ
Mỹ Ngọc; Cô gái đẹp, kiêu sa, tài năng
Ngọc Hạ; Con có cuộc sống phú quý, giàu sang, giỏi giang
Tố Nga; Cô gái đẹp, đài các, kiêu sa
Uyên Thư; Con có tri thức, hiểu biết sâu rộng
Bảo Thanh; Con là bảo bối, niềm tự hào của bố mẹ
Nhã Linh; Cô gái hòa nhã, xinh xắn, giỏi giang
Hồng Nhung; Con như một bông hồng đỏ thắm, rực rỡ và kiêu sa
Ngọc Diệp; Lá ngọc, thể hiện sự xinh đẹp, duyên dáng, quý phái của cô con gái yêu
Diễm My; Cái tên thể hiện vẻ đẹp kiều diễm và có sức hấp dẫn vô cùng
Tuyết Lan; Con gái mang vẻ đẹp tinh tế, thanh tú như loài hoa lan nhưng là lan mọc trên tuyết thì lại càng “xuất chúng”
Tuệ Nhi; Bé là cô gái thông minh, hiểu biết
Mẫn Nhi; Mong con thông minh, trí tuệ nhanh nhẹn, sáng suốt
Tuệ Mẫn; Cái tên gợi nên ý nghĩa sắc sảo, thông minh, sáng suốt
Tú Uyên; Con là cô gái vừa xinh đẹp, thanh tú lại học rộng, có hiểu biết
Minh Anh; Cô gái thông minh, nhanh nhẹn, tài năng
An Chi; Xinh đẹp, giỏi giang, nhanh nhẹn
Hải Yến; Xinh đẹp, tự do, luôn lạc quan
Thảo Phương; Cô gái mạnh mẽ, giỏi giang, tự lập, vượt qua mọi khó khăn.
Hương Tràm; Cô gái mạnh mẽ, dám đối mặt với khó khăn, vượt qua bão táp, tỏa hương thơm cho đời, gặt hái được nhiều thành công
